# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   66       1.749179179802e+03       2.698098663089e-01       0.000000000000e+00      -4.093422762054e+00       1.325061722461e-07       6.561089232929e-04      -1.534608989653e-06 
   67       1.773377901485e+03       2.818650791905e-01       0.000000000000e+00      -4.488217866414e+00       1.318509679928e-07       6.455086318014e-04      -1.591259700200e-06 
   68       1.797781185972e+03       2.941771341469e-01       0.000000000000e+00      -4.895784241932e+00       1.311707386993e-07       6.351534047717e-04      -1.649182193681e-06 
   69       1.822395616923e+03       3.067396381553e-01       0.000000000000e+00      -5.315974795486e+00       1.304730880726e-07       6.250724607445e-04      -1.707991439415e-06 
   70       1.847232399831e+03       3.195453254375e-01       0.000000000000e+00      -5.748626047522e+00       1.297703326003e-07       6.153028508079e-04      -1.767040908105e-06 
   71       1.872299909353e+03       3.325862947772e-01       0.000000000000e+00      -6.193556394676e+00       1.290717194735e-07       6.058652750670e-04      -1.825575492062e-06 
   72       1.897603492426e+03       3.458539961204e-01       0.000000000000e+00      -6.650565947476e+00       1.283827153086e-07       5.967620883008e-04      -1.882723881292e-06 
   73       1.923145271390e+03       3.593392171751e-01       0.000000000000e+00      -7.119436368042e+00       1.277042404917e-07       5.879752352332e-04      -1.937490726370e-06 
   74       1.948923947113e+03       3.730320700116e-01       0.000000000000e+00      -7.599930707785e+00       1.270318475790e-07       5.794641154194e-04      -1.988748588085e-06 
   75       1.974934602111e+03       3.869219776622e-01       0.000000000000e+00      -8.091793245109e+00       1.263548421828e-07       5.711633777461e-04      -2.035229673891e-06 
   76       2.001172170774e+03       4.009981127916e-01       0.000000000000e+00      -8.594760356183e+00       1.256610308460e-07       5.630055498678e-04      -2.075769309832e-06 
   77       2.027643015826e+03       4.152508356788e-01       0.000000000000e+00      -9.108595774622e+00       1.249552060457e-07       5.550013242543e-04      -2.110133180581e-06 
   78       2.054355115010e+03       4.296704953317e-01       0.000000000000e+00      -9.633061496590e+00       1.242455948868e-07       5.471769776743e-04      -2.138399792956e-06 
